,Scores,Loss,Episode length
0,-168.7014535,136.1116366,117
1,-108.2292333,5699.614705,89
2,-361.1180437,10154.91055,87
3,-551.4120105,11117.57886,96
4,-89.00715428,7425.086336,73
5,-376.4929343,8114.083296,76
6,-115.4164382,13599.10334,103
7,-121.6719223,10962.39221,134
8,-202.2623373,9809.367044,111
9,-170.9799899,17538.52152,250
10,-62.13820747,9967.992026,151
11,-84.69723531,3097.669079,90
12,-129.3686767,6331.449807,105
13,-58.58581416,7347.886409,120
14,-293.0988587,6717.366186,116
15,-138.2939992,6406.2345,101
16,-328.8665307,9512.623455,133
17,-228.8165355,4071.379021,97
18,-234.5206287,4367.905913,91
19,-489.1763481,12020.41825,209
20,-88.84690931,11023.69613,219
21,-196.5099474,5485.167778,93
22,58.16038083,6662.93563,144
23,-14.16653626,17328.62545,250
24,-431.1213575,11773.80456,244
25,-417.5478892,6547.154988,79
26,-462.1410804,5012.009868,88
27,-248.8316645,7222.304017,119
28,-116.1474028,8481.337763,163
29,-129.7750529,5529.728312,117
30,-95.77078739,14854.44094,250
31,-197.2275458,12004.36998,250
32,-243.0316779,9540.871696,211
33,-96.51096346,6033.981199,133
34,-411.8542516,7494.025301,169
35,-92.1347114,10225.21342,250
36,-252.289443,6278.141316,177
37,-99.36083904,7685.235214,178
38,-135.3340268,3363.21701,122
39,-300.8743085,5431.963442,179
40,-59.76427444,11612.98953,250
41,-64.73056938,11122.57635,250
42,-50.58330829,12913.6719,250
43,-50.49061104,11051.76691,250
44,-41.30257394,9700.075013,250
45,-291.1652364,6196.550064,233
46,-709.6840362,6082.01201,173
47,-126.9634292,5011.97164,157
48,-96.65888144,6220.84164,163
49,-66.51549847,3799.26157,192
50,-286.3985233,8322.133515,250
51,-44.49506811,9159.441756,250
52,-194.9599338,7401.244853,236
53,-130.7810862,3975.910586,137
54,-169.6571348,2096.36867,115
55,-352.003224,4215.782087,206
56,-413.272474,2497.735526,106
57,7.639181321,8529.905921,250
58,-26.15668183,5002.511772,250
59,-53.59663462,8676.568924,250
60,-27.14721065,7996.256099,246
61,7.674202876,4837.026134,250
62,-70.61322547,7415.758361,250
63,21.89756893,6704.569808,250
64,-282.0537154,4569.186613,250
65,51.14453135,5794.29734,250
66,-141.1723055,7390.665783,250
67,-72.63666228,6623.638479,250
68,18.48750076,5763.768552,250
69,8.294143825,4315.283285,250
70,-98.91545694,4107.613129,250
71,-112.0399574,2453.059359,184
72,35.07455044,4536.66339,250
73,-39.31846862,4057.533298,214
74,-134.749494,7285.337888,250
75,-357.0496688,3701.679094,230
76,-59.08368262,4876.318335,237
77,-344.0116613,3222.806151,150
78,-284.5342188,4197.236544,248
79,-195.0602329,4926.586759,241
80,2.633383378,4480.477593,250
81,-260.6040387,3627.213327,144
82,-932.686767,1163.163384,100
83,22.25471436,3765.790131,250
84,9.400745475,3810.699355,250
85,-351.683303,2590.10073,178
86,8.635051102,5214.500316,250
87,-63.11469348,3542.986613,250
88,-47.02385733,4529.165125,250
89,-25.25361309,3450.212063,250
90,43.78669119,5103.532036,250
91,77.93895019,4599.992353,250
92,65.49606593,2725.349037,250
93,-161.5392373,3326.606854,250
94,-45.34548143,3250.999657,250
95,-262.3119967,3083.441318,228
96,-78.32731077,4366.843191,187
97,44.68694183,3886.697719,250
98,-314.0237869,2981.401305,246
99,-247.3939807,3360.550806,241
100,-25.27167781,3374.600689,250
101,-200.4672065,3065.957247,234
102,-36.29740045,2607.407264,250
103,-52.1284636,1787.877121,250
104,45.72375996,2001.644763,250
105,16.83785961,2807.107996,250
106,-1.264147918,2513.794628,250
107,-347.1716783,4540.003146,194
108,-63.69946893,2748.01087,250
109,19.5169732,4699.478072,250
110,7.229595291,2555.646069,250
111,-54.17139062,2524.838315,250
112,6.497440225,2331.161886,250
113,44.79468896,3280.169495,250
114,46.47273661,2633.97144,250
115,-11.7316212,2989.810883,250
116,43.40792264,3545.385163,250
117,28.55776712,2969.262594,250
118,25.50812908,2695.597185,250
119,-49.27683993,2356.812699,250
120,51.59189014,5279.168907,250
121,-21.27491446,3010.998934,219
122,-45.19425101,2983.397915,250
123,-37.24350934,4971.167298,250
124,-85.29413057,5653.707407,233
125,-880.9578326,1706.316426,102
126,51.3769528,1811.650707,250
127,-257.9416163,2311.923334,142
128,-2.588884541,5745.080784,250
129,35.81278006,4185.416435,250
130,6.114038227,2991.932408,233
131,-12.59846479,2059.034935,250
132,39.04940819,3550.810134,250
133,39.85272703,2714.621747,250
134,73.02299079,2199.115415,250
135,-9.301684098,1981.087222,250
136,-9.405405035,1194.257564,180
137,-309.5276281,4161.342923,240
138,45.21166558,5331.038316,250
139,-4.619412475,2340.902983,250
140,55.95713733,1372.998578,250
141,97.80276468,2081.058828,250
142,45.5010192,3128.965455,250
143,2.411297265,1181.359391,250
144,82.36879219,2433.71184,250
145,21.8975974,4844.300136,250
146,-189.5554432,1236.230334,98
147,17.2439189,1190.641505,179
148,78.96089674,1284.328151,250
149,-69.06825791,2854.018577,250
150,30.50344526,2515.285864,250
151,59.43168955,1983.685156,250
152,-28.98302105,1378.961574,250
153,-26.53531244,2130.659359,250
154,-41.26789591,3817.719412,221
155,-48.78987851,2846.064847,239
156,95.3090475,2400.691685,250
157,-60.71024966,3100.625402,250
158,-12.48232708,2796.238638,250
159,92.99483679,1754.182065,250
160,-84.40835653,1141.449237,199
161,33.14048602,2019.936576,250
162,-670.8965266,6407.598182,162
163,-197.564308,2039.190413,174
164,28.16405144,1958.438456,250
165,16.032032,4124.625728,250
166,9.692529361,3541.099378,250
167,4.868397557,4937.163097,250
168,-60.58452689,2087.490548,250
169,32.41670566,2138.794727,250
170,-244.9729536,2894.651988,240
171,25.14839953,2507.340545,250
172,-27.57835259,2346.205722,250
173,30.82015499,2008.222661,250
174,18.36609938,2132.646039,250
175,40.06722944,1696.472125,250
176,-23.48036409,1754.500731,239
177,74.76212779,1790.425082,250
178,-12.64554748,1475.197079,250
179,-27.11496648,2622.732129,250
180,-84.53939661,1953.143636,250
181,-2.467872203,2109.544513,239
182,63.09651192,1360.919316,250
183,-21.02412622,2989.933677,250
184,-16.15295279,2428.539667,250
185,-148.5929361,1083.709908,225
186,-11.6069248,1920.442663,250
187,13.54436869,1923.216402,250
188,-60.54728673,2533.814742,250
189,1.13948367,2085.057515,250
190,-9.094607621,1782.405314,250
191,-26.30830324,2298.050457,250
192,-2.086447104,1445.148284,250
193,-22.88380248,1748.678375,250
194,37.7085492,1424.534309,250
195,16.26210311,2527.989065,250
196,37.11101936,1800.085004,250
197,-28.40058954,2761.529678,250
198,-264.691417,694.6907253,183
199,-21.63242026,1727.239518,250
200,-42.72617993,1486.163039,250
201,-35.90654565,1287.257406,250
202,25.71685276,1999.942673,250
203,-41.86982173,2885.165344,247
204,-36.9261176,2001.365054,250
205,10.21988692,2247.369008,250
206,-20.07880317,2177.183331,250
207,71.19407976,1430.95088,250
208,-66.00378492,1322.547965,250
209,-4.350281269,1141.064436,250
210,-369.9692844,4824.108552,250
211,-38.10631814,1998.977714,250
212,94.33093165,5585.389466,250
213,47.41417797,2889.507587,250
214,-15.96302819,1232.455413,225
215,-24.87964264,1372.416218,250
216,-50.11268472,1450.948792,250
217,-8.766472644,2698.955517,250
218,25.01024868,1869.531699,250
219,-11.9353506,1291.226939,250
220,-35.92517803,1596.580679,250
221,-26.77947586,1895.453799,250
222,-14.6128003,1400.83238,250
223,12.78896958,3016.03763,250
224,-11.49162136,1601.929198,250
225,-41.53958178,1312.087989,250
226,6.846216391,1869.852299,250
227,-5.260756709,2886.651713,250
228,-0.879276413,1782.94858,250
229,-27.21079734,1305.098567,250
230,-12.94450471,5416.580005,250
231,43.3258289,1228.340155,250
232,-43.15132487,4525.518284,250
233,24.03393446,2250.361031,250
234,-76.69790212,2387.653264,250
235,37.38459811,1204.802488,250
236,-11.0787665,4205.220924,250
237,49.84486202,3171.051269,250
238,-40.48501044,2273.121912,250
239,4.093989381,4075.624045,250
240,53.85326552,1763.342511,250
241,-31.68862136,2429.163844,250
242,1.970477453,3917.495905,250
243,64.63748093,1586.911342,250
244,36.92588768,1374.454655,250
245,37.82510192,1235.980059,250
246,-15.4477975,1478.752032,250
247,34.82767927,1973.840909,250
248,-8.751356719,1971.792723,250
249,-19.13918595,1096.414804,250
250,22.6849603,2132.646801,250
251,36.4452716,1927.025241,250
252,-45.90724091,5292.502846,250
253,-6.36549412,1796.13874,250
254,20.85618351,1673.136244,250
255,11.96108617,1683.457519,250
256,3.628076849,2174.664265,250
257,-7.030112985,1149.545017,250
258,15.19798607,1374.179545,250
259,-5.346228511,1024.515116,250
260,-5.0452902,1395.797425,250
261,17.95200802,1483.791528,250
262,-26.5376699,1350.090188,250
263,-4.524063903,1988.252131,250
264,4.635342597,2189.91831,250
265,15.13312228,1184.786816,250
266,-50.28173669,5041.792925,250
267,-32.30395374,1430.464219,250
268,29.86421725,4549.854768,250
269,-4.985735605,1922.555415,250
270,-19.36958885,1252.285954,250
271,-29.27235647,1707.682677,250
272,-3.842530917,1095.488361,250
273,-11.06629296,1179.06828,250
274,73.43935928,1524.786443,250
275,28.91412642,1266.677099,250
276,27.04025417,4796.164182,250
277,47.70143505,1032.707307,250
278,-41.08549161,2394.507771,250
279,-21.47399539,1430.160765,250
280,35.27803789,1045.847007,250
281,26.03181496,1439.274364,250
282,22.38850562,2051.021213,250
283,-37.65076421,1665.736537,250
284,19.80274905,1559.155905,250
285,2.911283105,3642.206034,250
286,24.84068275,1689.225388,250
287,-23.10289442,1216.043521,250
288,-0.214451889,1473.432302,250
289,-6.965742791,1205.610398,250
290,13.65882415,1627.573452,250
291,-11.52461097,1904.411471,250
292,68.24103949,960.6089749,250
293,-9.166475539,2146.882462,250
294,28.01595703,2858.0213,250
295,15.31358675,1216.157816,250
296,-25.71246854,459.6009736,88
297,-19.78114277,1111.386216,250
298,-32.16202262,1982.163173,250
299,-2.092070456,1336.254445,250
300,52.83875909,1575.260074,250
301,-89.26887791,4747.281006,183
302,59.99806612,4238.042425,250
303,1.682463882,980.2539165,250
304,3.333754333,651.6716986,250
305,-17.74587594,3338.748208,250
306,-39.4965852,1202.499867,250
307,13.10046111,1432.866588,250
308,6.287121075,1656.497418,250
309,-26.34760086,1170.617661,250
310,-30.58942375,1938.803328,250
311,136.747114,1619.39041,250
312,32.23265644,1225.589279,250
313,-29.85149583,1334.889622,250
314,41.85933891,920.0714029,250
315,-1.033883837,1740.293777,250
316,-29.76971445,1363.556192,250
317,75.9237949,1107.766292,250
318,26.30552159,2215.217571,250
319,-9.065511999,1840.030192,250
320,13.06044083,1248.434,250
321,10.60265973,1221.133161,250
322,31.92148728,1103.609033,250
323,-10.46174321,1051.444301,250
324,30.67893192,952.3235197,250
325,32.59110905,1697.811521,250
326,-23.72510111,1725.037416,250
327,42.22304291,1041.482088,250
328,48.68754282,837.6483622,250
329,77.48045249,2092.456607,250
330,26.01257432,942.9859791,250
331,2.893504215,1521.541454,250
332,-9.902690366,1388.224175,250
333,19.44658686,1326.107109,250
334,-31.72834349,1468.443142,250
335,-17.36688057,1105.085491,250
336,18.2456034,983.2082849,250
337,80.41924392,1188.905593,250
338,-26.02055832,817.3446418,250
339,1.490217826,2159.625822,250
340,85.36459252,1247.670581,250
341,58.32931959,896.9367867,250
342,-2.6954515,1139.688265,250
343,-0.481768571,1286.788728,250
344,-16.80822106,959.0595227,250
345,-37.04415169,1106.32136,250
346,-4.644864558,871.0243549,250
347,-3.962403864,913.9196863,250
348,-1.601378003,1775.898474,250
349,-9.835845953,1253.930763,250
350,17.63649144,5108.161868,250
351,-15.92081942,1535.60093,250
352,-15.46142669,1266.500214,250
353,-4.792844681,967.1149499,250
354,65.55459266,1076.362885,250
355,32.98885273,1831.535936,250
356,-14.83513013,2959.545061,250
357,-9.642598859,1424.638936,250
358,-12.83925571,908.0986223,250
359,29.85938179,1247.310733,250
360,-7.679932872,1507.750351,250
361,48.35407076,724.7600935,250
362,-23.51122464,861.5080092,250
363,33.37456737,1205.205509,250
364,35.32493815,1310.143044,250
365,-89.60549995,152.7129529,62
366,20.66485207,1041.75556,250
367,-30.68790547,1440.93632,250
368,1.080119377,963.4346962,250
369,1.070293274,1936.125402,250
370,27.30059878,1745.274878,250
371,36.62954331,1102.518285,250
372,-10.76172865,786.4602547,250
373,-12.11265493,2095.277263,250
374,-10.16022817,212.7656422,70
375,-38.59409398,156.018657,54
376,-21.69151714,229.4776418,85
377,-9.817741152,4127.701164,250
378,5.967796418,2174.655056,250
379,41.09644045,2158.786384,250
380,34.73659712,1807.519275,250
381,-4.386844774,980.1478252,250
382,-15.21318013,1494.642453,250
383,13.30195727,1193.845906,250
384,26.40804368,1022.43829,250
385,-17.72384799,1475.078478,250
386,17.41289391,1507.945905,250
387,17.22784484,2840.293499,250
388,16.9780772,1506.82426,250
389,25.3798504,1613.613234,250
390,-13.45788613,1738.896716,250
391,20.05590257,1687.765966,250
392,-53.42712896,332.9406767,70
393,28.31520344,1281.088134,250
394,122.4869019,1203.462634,250
395,-19.84513168,742.9178832,250
396,-24.60577807,731.2719729,250
397,-14.77832424,829.3758562,250
398,-6.002313077,1548.062515,250
399,-15.53962568,886.62884,250
400,-11.26333903,1639.724162,250
401,-6.300191789,591.3157566,250
402,-26.01530702,1078.049925,250
403,115.4983184,753.0092235,250
404,68.53470614,908.7345014,250
405,32.31645056,1164.194398,250
406,-30.31097763,1468.422864,250
407,-1.935397578,1216.349572,250
408,-31.873935,588.4411469,79
409,-12.41381876,2052.872079,250
410,-36.62630084,1037.824231,250
411,-22.15267099,1707.458306,250
412,19.70815674,1936.721482,250
413,-24.43546014,1823.623216,250
414,-45.80885126,196.9342341,52
415,-15.07688554,1361.761352,250
416,34.04824682,1923.644441,250
417,51.2797704,1135.897435,250
418,55.01956303,1727.315776,250
419,10.26674747,1178.017791,250
420,0.196833013,2012.019178,250
421,-9.663044894,1486.221774,250
422,-1.74906619,1304.655057,250
423,-14.88320637,1305.330384,250
424,-35.65720927,1985.143427,250
425,43.51534305,2317.470697,250
426,-38.46667226,1740.618281,250
427,-1.455795704,1130.731468,250
428,-39.18410655,1108.653765,250
429,21.83076056,903.4672303,250
430,49.69443492,1071.865236,250
431,-4.763196129,1095.74224,250
432,37.06685567,1000.911452,250
433,-30.07540501,1168.67991,250
434,8.504305282,2886.295399,250
435,7.407047902,1240.11241,250
436,8.86393927,835.6844587,250
437,42.55892429,896.0488281,250
438,-16.42400832,809.8319163,250
439,-9.277488113,1504.785129,250
440,-12.5923935,1110.555815,250
441,-44.04874695,2383.269312,250
442,11.39353215,1103.230276,250
443,1.535086942,964.3940752,250
444,56.95263204,916.940068,250
445,-77.92283019,337.0463505,68
446,-12.68202162,1023.352935,250
447,81.22214478,4987.666945,250
448,12.27439264,1045.501766,250
449,-37.47833779,1166.299644,250
450,-12.1519825,1604.12214,250
451,-14.14641702,940.4529202,250
452,-15.20996218,1301.148966,250
453,-52.04322503,762.32066,190
454,46.11627989,674.7099812,250
455,-29.67547537,222.9437454,97
456,-37.24979821,677.7284942,250
457,36.26823477,855.4050727,250
458,-135.9702207,569.0764451,201
459,-8.793397553,808.0756087,250
460,-44.88516079,1535.404273,250
461,-26.90652745,917.243464,250
462,-9.085161825,947.1657746,250
463,28.20921029,906.1094502,250
464,14.28682033,1291.778274,250
465,-10.84115169,925.5022759,250
466,-21.82395942,755.0209193,250
467,37.01876209,1074.683946,250
468,-43.73881868,761.0970395,250
469,-6.473565037,656.3897445,250
470,82.22183762,825.0897176,250
471,35.73428332,910.4696141,250
472,-39.06452804,615.9398242,250
473,-17.88388082,1486.352534,250
474,-5.561688446,934.1542302,250
475,-19.29437086,613.107807,250
476,-29.56719064,577.3778145,250
477,-17.45764222,1002.033457,250
478,10.36575838,692.9202477,250
479,99.55248129,618.7914934,250
480,99.6081761,593.2967681,250
481,-24.39221884,780.706205,250
482,-96.58314296,681.7925987,117
483,11.65305631,550.3779106,250
484,5.169542772,2464.458982,250
485,4.96899089,1052.402605,250
486,-47.34172752,709.8484783,250
487,36.16648983,746.4868264,250
488,-28.30172935,689.831809,250
489,11.42200586,4529.171029,250
490,7.006127456,1005.813566,250
491,13.24098495,885.1483698,78
492,-12.7449851,862.5922949,250
493,-7.754858089,1813.821076,250
494,-4.805877124,1858.742897,250
495,-4.720124583,1326.929727,250
496,69.28453992,817.3354707,122
497,-18.45748464,768.3584251,250
498,-29.3429395,1622.140825,250
499,-14.46283148,442.0056231,105
500,-77.85979068,1774.195071,208
501,-13.67305358,1261.163013,250
502,52.51760289,1366.251681,250
503,78.69105876,848.6264918,250
504,-27.46746211,1106.696018,250
505,-4.170551456,1605.445701,250
506,68.0550739,1657.941963,250
507,16.98804644,1813.4495,250
508,21.38448598,766.1013606,250
509,51.63126121,1391.325949,250
510,-2.508266156,636.5725888,250
511,-107.0387018,885.7022724,231
512,-12.00524413,1518.765733,250
513,51.61368791,803.9058714,250
514,-18.01509182,1359.748244,250
515,42.74796164,626.2577982,250
516,1.178715234,2038.326748,250
517,3.526486141,765.957408,250
518,-18.74231893,766.6186128,250
519,0.617184171,2958.35561,250
520,29.86801689,771.6361022,250
521,11.08552914,701.0541248,250
522,41.70895644,2105.220915,250
523,-7.657019895,851.4203954,250
524,7.794084016,795.9101901,250
525,6.287253729,1193.768921,250
526,-9.412177412,855.1340733,250
527,-2.795896043,1068.653093,250
528,-16.97450521,1537.989686,250
529,64.08659437,993.1121671,250
530,-30.78110914,356.4128946,95
531,-48.98701894,761.4403576,250
532,-27.96277784,1229.487049,250
533,-39.78669759,836.4377912,250
534,-82.71863167,361.0303273,152
535,-100.5661922,421.761385,164
536,66.13224159,981.9411832,250
537,-46.20319065,755.1399537,250
538,-12.88442027,1270.604494,250
539,-5.969859038,783.4854257,250
540,30.45324683,883.9346864,250
541,28.13327634,595.4893258,250
542,18.01434903,878.1614491,250
543,33.95963675,1433.878108,250
544,-19.28859748,803.3998747,250
545,-45.40322498,535.7217813,250
546,-81.14879617,511.0666139,250
547,73.70313586,508.3339379,250
548,42.10047928,750.3665895,250
549,49.18541969,574.3986087,250
550,19.41691244,967.3515208,250
551,-8.231934563,566.578485,250
552,-114.1661557,415.6355343,192
553,-1.66176163,612.6212783,250
554,-20.11786219,1236.712835,250
555,27.21305872,598.6041328,250
556,-5.929379603,1075.922343,250
557,-47.74201376,649.853132,250
558,-6.369331758,463.1432879,250
559,-7.53993718,1106.644677,250
560,6.51944354,625.4336087,250
561,-41.73794783,571.162959,250
562,-22.24520056,536.012213,250
563,-147.1219676,393.5181291,185
564,54.75246921,687.707624,250
565,-53.96958588,1597.030856,250
566,-56.38502643,212.4191234,62
567,2.373873801,1111.228032,250
568,-29.98826771,780.0720806,250
569,-4.753848825,1229.085145,250
570,-5.996582175,497.553421,250
571,18.1060433,1190.037167,250
572,59.51376333,512.9351029,250
573,19.47157212,568.4530506,250
574,-52.88691128,357.1635282,198
575,-29.45077692,891.6683018,250
576,-14.1677269,752.957375,250
577,-107.7531114,604.6842289,142
578,19.58131083,499.4588046,250
579,-136.1927629,396.7937903,194
580,-33.89130466,602.8105259,250
581,82.64971982,633.3603373,250
582,41.25224844,803.2692075,250
583,-13.48780539,520.4391537,250
584,-12.97237664,503.3998432,250
585,16.49034145,1320.861901,250
586,122.0926777,912.664737,250
587,6.575762886,530.0769827,250
588,-46.6554827,629.335125,250
589,-30.84276404,606.7026346,250
590,-123.6913541,365.176331,160
591,-4.901921636,578.3525927,250
592,-15.85702841,726.038192,250
593,-156.2832721,1284.503242,250
594,-138.3583547,529.1182461,144
595,89.50787071,881.488116,250
596,-163.694274,351.5001404,113
597,-111.9756432,578.768357,219
598,-39.48659078,1640.239021,250
599,18.41964414,569.6745219,250
600,-116.2073056,375.0755382,191
601,-55.67703326,881.5349013,250
602,-41.12798022,1767.60914,250
603,-94.12337991,540.8244376,234
604,-89.663124,476.2886353,157
605,28.0541638,507.9860697,250
606,-4.911666571,1732.016563,250
607,-79.83706619,612.5135584,165
608,0.411022681,483.4754095,250
609,1.659475751,896.5567245,250
610,112.2931061,1580.468359,250
611,39.20461062,659.1701108,250
612,17.80295802,480.0984813,250
613,-114.4758703,399.2369092,214
614,-135.534994,1365.941648,185
615,-8.355594144,902.1413674,250
616,-1.92458707,472.6280365,250
617,-12.21272935,1435.331218,250
618,6.685799351,536.943943,250
619,16.07280888,1188.499774,250
620,39.77052892,1168.891042,250
621,20.00044535,1497.371082,250
622,-12.1502984,927.859978,250
623,40.5857755,1202.293324,250
624,39.86417827,750.0702147,250
625,-5.337669729,1038.20927,250
626,-32.70415538,1378.471919,250
627,7.532426652,656.8642566,250
628,-41.06315111,794.9032526,250
629,29.60150053,665.239629,250
630,-5.402241922,553.1727569,250
631,-21.35677925,921.6678636,250
632,-15.18625909,646.1324701,250
633,-10.44089724,1440.141381,250
634,-2.347656449,468.2647543,250
635,-36.04238347,1090.827972,250
636,-29.96713945,528.9619634,250
637,-1.68485562,1425.594964,250
638,65.7120699,1166.088642,250
639,33.85220646,930.5122099,250
640,-31.43181707,487.2475042,250
641,68.78640803,1216.491584,250
642,-10.26438984,1020.421922,250
643,-16.2882179,548.8878527,250
644,40.33354121,888.2859168,250
645,20.90449837,524.096801,250
646,-21.30415324,414.1408067,250
647,-35.87228134,445.8177242,250
648,74.10006215,430.6067252,250
649,-17.92907687,570.7371409,250
650,-21.9948693,1227.095757,250
651,-9.141510031,645.8267021,250
652,-54.20419367,457.8489156,250
653,50.95025099,1623.56377,250
654,9.099606661,904.6848857,250
655,-23.83341929,1306.539397,250
656,-32.15127032,952.1233721,250
657,-17.98235167,158.7234173,91
658,-3.672631543,1158.04238,250
659,56.60553848,967.2130322,250
660,21.98084786,829.5042603,250
661,90.40859538,463.6903937,250
662,-26.65351191,1444.892714,250
663,70.7052782,2585.5608,250
664,-39.88533046,222.5496179,100
665,128.6137858,445.9999708,250
666,-6.861679708,565.6737775,250
667,-27.05230974,1453.316124,250
668,133.9788109,1345.724293,250
669,29.26917342,1089.48055,250
670,68.12699284,1232.276839,250
671,-18.1816186,439.5827874,250
672,47.05600345,574.3527244,250
673,-34.34870801,436.4362661,250
674,122.7841602,1311.015666,250
675,60.51255508,589.4655163,250
676,-35.09735384,524.8680892,250
677,46.2273705,539.8620905,250
678,48.80822398,2173.331445,250
679,45.43010269,527.5590611,80
680,-69.54165537,449.7809997,202
681,27.07265076,1007.492241,250
682,5.670299956,661.6165105,250
683,47.88529489,1832.274694,250
684,228.837991,1079.818847,194
685,-4.999005295,1009.080153,250
686,67.42571277,624.6481595,250
687,50.32007278,1870.124169,250
688,-8.038908801,1281.437691,250
689,33.02286374,1324.273866,250
690,-22.80560708,891.5937825,250
691,-13.40151902,729.7893136,250
692,101.0953336,978.6490471,250
693,-39.85166875,615.4840074,250
694,-8.044722533,494.8905361,250
695,-10.88289807,4532.145095,250
696,20.38101899,915.2294697,250
697,73.19463804,1058.366539,250
698,-44.28531809,1162.747338,250
699,53.31612812,1306.06887,250
700,90.36664336,761.7944312,250
701,27.66408117,552.7860701,250
702,44.45508064,626.3273005,250
703,10.99328653,413.7583103,250
704,32.95584424,497.404047,250
705,33.69684726,1662.126137,250
706,53.99043263,1773.598096,250
707,-17.82833163,1296.705225,250
708,45.34749812,970.3429257,250
709,-13.65177836,587.1688681,250
710,36.95555368,427.6791708,250
711,0.28621511,450.7398322,250
712,-27.6489859,656.3981597,250
713,9.102192744,1639.936045,250
714,61.61392746,1947.828038,250
715,9.737765488,835.6538172,250
716,95.51484096,1172.64307,250
717,48.03950303,1140.507193,250
718,-24.70939655,1325.475239,250
719,33.50897342,542.5500686,250
720,5.172679714,759.4237964,250
721,65.63789593,718.1476318,250
722,-62.45182469,935.7841882,163
723,1.451747438,419.4303715,250
724,-1.667396734,1060.423543,250
725,-32.42521539,661.8579845,250
726,19.4959039,1605.259951,250
727,10.66456154,899.5006478,250
728,2.057341801,1215.601506,250
729,4.054330562,437.0706283,250
730,-23.21694057,400.819,250
731,93.67840864,1287.88491,250
732,51.97325156,428.5731916,250
733,38.95885303,1148.231358,250
734,65.08793942,1853.279334,250
735,87.04167648,885.1000423,250
736,6.100796126,435.7298608,250
737,-8.216806952,1389.54849,250
738,55.16717467,1086.65152,250
739,26.96924115,678.1018662,250
740,69.53613164,1045.165846,250
741,-10.12778578,763.7235296,250
742,-24.88542735,703.4159133,250
743,-73.92547563,425.5607283,197
744,78.23554766,880.0085444,250
745,66.84884417,1593.766253,250
746,65.13818454,1093.084389,250
747,55.86121952,1742.068504,250
748,-21.74124122,167.1827972,61
749,99.6233221,345.0184889,250
750,-14.35100598,685.4402595,250
751,-17.17236479,657.1572127,250
752,57.13003716,733.6162167,250
753,-26.59148995,418.72932,250
754,-15.84781743,560.1494007,250
755,12.56743237,1170.21799,250
756,-47.29637936,836.3859909,111
757,-39.06294652,943.9685768,250
758,22.05022453,935.7433798,250
759,134.6964321,809.4142767,250
760,-2.274503293,393.2103816,250
761,-1.461463786,401.1332151,250
762,59.69122146,640.1645372,250
763,60.88204749,1513.49086,250
764,-13.42806776,1734.808349,250
765,-19.6491842,470.6864891,250
766,30.48903798,1215.066817,250
767,48.36356138,933.0985885,250
768,-18.90170477,1194.960669,250
769,-3.448717054,438.4842324,250
770,18.11629186,393.137123,250
771,25.6809001,702.3823544,250
772,35.29555155,876.3085488,250
773,5.605308123,978.2625344,250
774,47.77855218,1538.917133,250
775,33.00312616,439.4945446,250
776,24.75351826,1409.333171,250
777,-8.331285009,664.6010095,250
778,-13.14778587,753.6058174,250
779,66.17425227,1631.047537,250
780,52.63291657,1168.240111,250
781,-12.05914917,1350.997715,250
782,74.9687458,1043.836205,250
783,5.567164306,569.7618548,250
784,84.51406838,739.9886612,250
785,-20.39018321,709.3134938,250
786,117.9211376,657.1991308,250
787,-72.96015254,127.4200354,90
788,30.94108648,984.4186419,250
789,12.52017168,1767.62852,250
790,39.25889531,977.6566949,250
791,-21.11984121,394.6237373,250
792,81.30804694,454.5452042,250
793,91.5438497,605.3998113,250
794,10.21782909,1014.106969,250
795,-9.394477411,458.7361333,250
796,59.3626282,709.7134974,250
797,23.60695345,531.0112576,250
798,14.51647728,770.3353829,250
799,76.21771809,438.6956905,250
