episode,1000_step_score,1000_step_loss,1000_step_length,500_step_score,500_step_loss,500_step_length,250_step_score,250_step_loss,250_step_length
0,-46.2289277,1078.02289,156,-185.3034323,185.625082,124,-168.7014535,136.1116366,117
1,-289.9533125,8936.126153,97,-151.5163988,5224.066425,99,-108.2292333,5699.614705,89
2,-146.177577,11163.03827,114,-183.8829377,10447.04797,111,-361.1180437,10154.91055,87
3,-212.3716361,9625.316577,132,-309.0417547,8129.015968,73,-551.4120105,11117.57886,96
4,-390.0344107,4853.692104,97,-4.969670227,6622.44568,87,-89.00715428,7425.086336,73
5,-497.5636734,8395.501339,83,-123.3137512,9996.519309,95,-376.4929343,8114.083296,76
6,-149.5742791,4675.550021,75,-7.832798833,12631.97182,125,-115.4164382,13599.10334,103
7,-120.3616824,5720.253137,127,-683.6068989,14559.24173,169,-121.6719223,10962.39221,134
8,-436.3775673,7248.539701,92,-76.97342451,13915.1895,137,-202.2623373,9809.367044,111
9,-454.2374684,9033.506521,115,-63.86965387,8803.567041,107,-170.9799899,17538.52152,250
10,-345.7669973,9022.79627,99,-162.6225506,19344.87458,252,-62.13820747,9967.992026,151
11,-418.5973446,9195.120358,140,-189.6436852,9518.836717,184,-84.69723531,3097.669079,90
12,-353.0639047,6766.460384,89,-272.1444171,7706.68231,146,-129.3686767,6331.449807,105
13,-250.1974357,6205.561464,77,-74.94706884,11145.17301,189,-58.58581416,7347.886409,120
14,-282.6063155,8562.939407,141,-81.49332892,5479.807783,103,-293.0988587,6717.366186,116
15,-365.78231,11713.39679,161,-24.74820544,9325.516231,133,-138.2939992,6406.2345,101
16,-358.4158022,11994.79504,151,-99.93142714,8609.390448,95,-328.8665307,9512.623455,133
17,-102.4925356,12846.52893,191,-229.4406222,8338.632045,114,-228.8165355,4071.379021,97
18,-195.7883701,6443.991035,97,-110.6866521,16944.32739,367,-234.5206287,4367.905913,91
19,-218.744334,12349.20215,242,-132.93304,13720.00738,271,-489.1763481,12020.41825,209
20,-210.9484722,7484.78872,116,-299.2545494,20317.32774,427,-88.84690931,11023.69613,219
21,-117.0496478,6480.859372,103,-77.15517347,16807.12932,394,-196.5099474,5485.167778,93
22,-347.3644471,11330.5849,178,-188.4664945,7364.357608,150,58.16038083,6662.93563,144
23,-218.9073378,8955.043247,154,-279.9674368,4306.384438,105,-14.16653626,17328.62545,250
24,-163.1826281,11426.91527,237,-210.7128787,16390.35248,406,-431.1213575,11773.80456,244
25,-405.6759663,10034.08116,175,-126.6094925,14665.77872,358,-417.5478892,6547.154988,79
26,-279.5137077,9350.268381,147,-479.9140082,7173.015465,222,-462.1410804,5012.009868,88
27,-88.29461001,39961.47148,781,-568.0160124,8227.656733,203,-248.8316645,7222.304017,119
28,-72.18560758,14268.48505,317,-150.4246118,6325.810637,166,-116.1474028,8481.337763,163
29,-296.3609769,8395.691267,205,-326.1807667,4800.615301,114,-129.7750529,5529.728312,117
30,-375.4371571,27876.53919,890,-462.1876017,5078.054857,148,-95.77078739,14854.44094,250
31,-100.5076996,5510.266829,121,-415.2417414,5745.063505,133,-197.2275458,12004.36998,250
32,-126.8263161,14233.71318,445,-339.3174262,5259.873146,101,-243.0316779,9540.871696,211
33,-80.40298509,19694.82911,523,-353.0642606,4585.682402,117,-96.51096346,6033.981199,133
34,-224.8488141,20322.13463,519,-53.73289384,5944.69277,157,-411.8542516,7494.025301,169
35,-314.7398394,15162.61635,517,-583.2073682,4666.073475,144,-92.1347114,10225.21342,250
36,-477.3912277,11782.65304,388,-563.968796,5848.073755,160,-252.289443,6278.141316,177
37,-72.6591072,4426.007079,185,-757.6587539,6322.921643,138,-99.36083904,7685.235214,178
38,-290.7430352,12189.41532,416,-269.6322167,8015.297346,177,-135.3340268,3363.21701,122
39,-205.1366599,13443.851,487,-238.8632958,5185.099633,186,-300.8743085,5431.963442,179
40,-92.91961271,7436.162129,224,-130.2928131,6362.17005,131,-59.76427444,11612.98953,250
41,-172.6346044,7112.245194,360,-165.5748698,9635.101505,225,-64.73056938,11122.57635,250
42,-272.7531804,10707.80819,390,-206.1052582,6671.153767,229,-50.58330829,12913.6719,250
43,-189.6557525,23971.16347,1000,-599.4092626,13631.41447,330,-50.49061104,11051.76691,250
44,-279.0913266,10396.01817,423,-531.2880549,4576.44885,152,-41.30257394,9700.075013,250
45,-447.4975842,8942.067734,390,0.307405203,6993.059868,184,-291.1652364,6196.550064,233
46,-277.0631046,8756.251476,386,-195.8574374,9740.316176,247,-709.6840362,6082.01201,173
47,-69.21211783,4868.074965,288,-416.5003601,11652.45976,250,-126.9634292,5011.97164,157
48,-258.8087964,6825.992653,301,-373.4005788,6816.193361,193,-96.65888144,6220.84164,163
49,-132.3810772,6108.074222,262,-325.5489921,4935.125034,120,-66.51549847,3799.26157,192
50,-369.9848988,10321.53408,322,-229.4208621,8267.350789,211,-286.3985233,8322.133515,250
51,14.54329778,4870.636097,253,-120.2595074,9341.257654,276,-44.49506811,9159.441756,250
52,-299.1735715,6125.488277,349,-528.2748096,4165.388076,122,-194.9599338,7401.244853,236
53,-4.456000488,5220.50069,238,-121.0500316,3983.216036,120,-130.7810862,3975.910586,137
54,-45.99461654,6991.502956,319,-73.72858834,5165.150766,167,-169.6571348,2096.36867,115
55,-116.3419498,7875.115839,337,-262.7839364,7242.877348,251,-352.003224,4215.782087,206
56,-65.38109642,4550.237669,190,-14.40691768,11711.1853,301,-413.272474,2497.735526,106
57,-36.60559917,6334.001925,378,-300.1057059,4642.855597,190,7.639181321,8529.905921,250
58,-315.1663779,2889.864016,194,-276.373873,5321.706725,136,-26.15668183,5002.511772,250
59,-261.3289596,4956.577184,283,-466.2564648,5763.144439,153,-53.59663462,8676.568924,250
60,-199.3030134,5017.40771,308,-500.6141354,6066.72396,176,-27.14721065,7996.256099,246
61,-82.98434805,4638.258052,238,-422.1194949,7561.643237,239,7.674202876,4837.026134,250
62,-167.3788681,3408.819896,222,-284.6493611,5706.675935,166,-70.61322547,7415.758361,250
63,-84.09382017,7241.508176,295,6.605114712,6579.69388,210,21.89756893,6704.569808,250
64,178.529956,8310.266043,450,-261.5522907,12803.86491,382,-282.0537154,4569.186613,250
65,-181.4262572,4252.032019,294,-452.3802306,9764.014993,316,51.14453135,5794.29734,250
66,-250.7397528,2384.040773,156,-321.3366184,4867.962759,162,-141.1723055,7390.665783,250
67,-229.0732991,3635.002058,234,-407.9284048,9011.215926,307,-72.63666228,6623.638479,250
68,-242.2239698,2360.191389,233,-338.2670612,5460.445331,243,18.48750076,5763.768552,250
69,-213.3823478,3723.941158,156,-255.6794153,7017.502291,246,8.294143825,4315.283285,250
70,-208.1582027,3432.175467,179,-468.6241482,9393.941545,380,-98.91545694,4107.613129,250
71,-122.3760923,4336.656563,212,-321.957503,5687.237244,247,-112.0399574,2453.059359,184
72,150.4223547,10488.31815,610,-341.1426281,4616.872841,154,35.07455044,4536.66339,250
73,-550.1894015,4215.5418,107,-56.8115026,7002.488145,318,-39.31846862,4057.533298,214
74,-437.2543505,2465.567389,137,-158.5064063,10299.60165,399,-134.749494,7285.337888,250
75,-170.7255698,1999.288981,168,-48.77131237,10046.77685,403,-357.0496688,3701.679094,230
76,-571.4791712,4971.838782,94,-145.79822,5688.776634,241,-59.08368262,4876.318335,237
77,-16.78400335,3634.649562,215,-324.1478594,5311.211801,260,-344.0116613,3222.806151,150
78,-29.30380143,4495.061042,326,-92.52002642,3833.191375,159,-284.5342188,4197.236544,248
79,-218.4981477,1397.765206,115,-261.5054439,6861.499835,327,-195.0602329,4926.586759,241
80,-98.34732346,7418.651393,311,-245.7873749,6432.108184,288,2.633383378,4480.477593,250
81,208.0714875,8354.644627,669,100.0467896,11984.41267,500,-260.6040387,3627.213327,144
82,-12.68094291,3824.929476,180,-72.22138652,7287.35903,318,-932.686767,1163.163384,100
83,-197.1194812,4390.056714,314,-251.0213008,7159.532538,290,22.25471436,3765.790131,250
84,-32.41893803,4724.433343,253,77.63908708,11752.52046,500,9.400745475,3810.699355,250
85,-154.8512624,3054.846886,163,-32.20016883,11123.47626,500,-351.683303,2590.10073,178
86,263.0428826,7364.402545,397,-192.7076856,6535.939816,375,8.635051102,5214.500316,250
87,-56.22748138,19100.58162,1000,-110.196216,7533.452091,353,-63.11469348,3542.986613,250
88,-69.44165697,18075.50161,1000,-246.5019548,3056.882265,156,-47.02385733,4529.165125,250
89,-420.0273661,3391.902751,166,-8.317948781,6416.61968,344,-25.25361309,3450.212063,250
90,-764.0607945,2221.385402,154,6.517640203,4871.950192,302,43.78669119,5103.532036,250
91,-437.0841254,6446.687363,315,-69.38523541,7249.532549,396,77.93895019,4599.992353,250
92,-271.3614036,2319.874727,102,-287.6270375,5914.305979,269,65.49606593,2725.349037,250
93,-251.0315338,13255.50259,751,-159.3241441,3181.364913,194,-161.5392373,3326.606854,250
94,-41.20745487,28807.3597,1000,-70.26305691,8837.297832,500,-45.34548143,3250.999657,250
95,-162.8522608,5805.673116,266,-73.96181874,8226.787115,500,-262.3119967,3083.441318,228
96,-179.9917713,10919.37099,434,-25.094918,7280.676673,500,-78.32731077,4366.843191,187
97,64.33121446,23429.29872,1000,-192.0627061,5713.487546,396,44.68694183,3886.697719,250
98,-78.40159754,8196.033415,325,-237.1923551,4449.31199,363,-314.0237869,2981.401305,246
99,140.1047715,6849.320606,472,-13.14273252,4036.147727,301,-247.3939807,3360.550806,241
100,-185.0432556,6412.010039,312,-72.86832863,7205.125034,500,-25.27167781,3374.600689,250
101,-81.42058802,5220.262294,263,-105.3469682,4615.766031,266,-200.4672065,3065.957247,234
102,-237.3324032,21545.35398,950,-100.6664709,3409.644681,328,-36.29740045,2607.407264,250
103,-362.3239012,13162.01278,566,-118.7782619,3133.745508,351,-52.1284636,1787.877121,250
104,209.7870511,9612.788445,410,-299.6718732,6734.900796,443,45.72375996,2001.644763,250
105,-220.8407614,2210.637553,152,-80.36519016,6321.889285,407,16.83785961,2807.107996,250
106,180.7646569,8667.835383,438,-71.8707879,6127.647845,448,-1.264147918,2513.794628,250
107,-192.8744616,6666.119855,293,-32.70397956,6735.566321,500,-347.1716783,4540.003146,194
108,-307.3884969,6487.922462,441,-82.57098407,5018.418146,500,-63.69946893,2748.01087,250
109,6.948633045,5767.456406,243,-235.3889734,4295.585349,356,19.5169732,4699.478072,250
110,-258.5260247,12907.10791,696,-42.9181478,6381.210938,500,7.229595291,2555.646069,250
111,-74.43912928,2899.093542,242,-94.82045036,5779.078864,500,-54.17139062,2524.838315,250
112,-93.60099484,16487.17426,1000,-363.0250823,4011.454558,273,6.497440225,2331.161886,250
113,-106.1116609,4351.413369,314,-111.3344759,4783.754752,500,44.79468896,3280.169495,250
114,18.34358982,16139.36162,1000,-25.43731694,7141.394145,500,46.47273661,2633.97144,250
115,-203.3007919,3464.838377,246,-57.56274574,6122.2667,500,-11.7316212,2989.810883,250
116,-177.2079624,2985.871597,267,-484.1050713,4352.507508,399,43.40792264,3545.385163,250
117,-128.1050657,2452.670471,182,-177.1279882,2759.721185,238,28.55776712,2969.262594,250
118,-443.3406596,5253.244828,223,-272.7408559,4300.160572,229,25.50812908,2695.597185,250
119,-214.9825415,1658.499408,150,-62.47801575,7294.332343,500,-49.27683993,2356.812699,250
120,39.83790816,15781.90638,1000,-31.95921572,4272.576746,500,51.59189014,5279.168907,250
121,-485.0085065,4006.118466,180,-28.39306201,5649.414001,500,-21.27491446,3010.998934,219
122,228.9757336,6063.595602,355,-45.07882318,5970.024365,500,-45.19425101,2983.397915,250
123,-80.52235141,6797.452405,295,-54.83879741,4700.163877,469,-37.24350934,4971.167298,250
124,45.0133711,14443.28101,1000,17.29490068,4713.445431,500,-85.29413057,5653.707407,233
125,5.768798792,6630.938961,249,-82.63523512,6193.491529,500,-880.9578326,1706.316426,102
126,-207.753216,5945.683983,346,-22.47312301,3550.359613,500,51.3769528,1811.650707,250
127,55.71178865,20276.30624,1000,-15.80075604,5565.005201,500,-257.9416163,2311.923334,142
128,-134.8993194,20905.56373,1000,-16.9308232,6998.609042,500,-2.588884541,5745.080784,250
129,-317.5685272,4889.499792,168,-28.34042109,5079.889027,500,35.81278006,4185.416435,250
130,-221.5793055,8602.715894,293,-57.3671922,4823.011806,500,6.114038227,2991.932408,233
131,-24.43230527,1544.980449,128,-33.19100986,3800.484135,500,-12.59846479,2059.034935,250
132,0.780922281,18238.5723,1000,-0.908917126,4853.029837,500,39.04940819,3550.810134,250
133,107.4136624,25584.68784,1000,-32.61001391,5063.367026,500,39.85272703,2714.621747,250
134,-180.4605645,5032.904858,319,-20.59189273,4928.064865,500,73.02299079,2199.115415,250
135,121.3954336,12314.44644,937,-47.50699463,3213.932863,500,-9.301684098,1981.087222,250
136,-59.25190435,6075.621376,410,-55.60450748,4264.55441,500,-9.405405035,1194.257564,180
137,-80.10936346,8835.230058,410,5.518856438,6118.65749,500,-309.5276281,4161.342923,240
138,-9.038830785,7066.684248,253,7.918470051,5033.337571,500,45.21166558,5331.038316,250
139,41.3728192,17994.01596,1000,-15.85560634,5675.763692,500,-4.619412475,2340.902983,250
140,-207.361228,4642.232405,292,-35.84647167,5031.105298,500,55.95713733,1372.998578,250
141,-72.65728937,7310.63947,419,-12.86713714,3943.307882,500,97.80276468,2081.058828,250
142,75.75503195,19014.67474,1000,-60.98340765,4157.39763,500,45.5010192,3128.965455,250
143,-66.30369429,13348.12829,1000,-28.47985826,4820.886975,500,2.411297265,1181.359391,250
144,100.8734995,15104.19628,1000,-31.17801118,6842.279206,500,82.36879219,2433.71184,250
145,-59.99708849,15668.62086,1000,-38.13765655,3841.275296,500,21.8975974,4844.300136,250
146,197.4416028,12650.65932,652,-30.98387551,6998.683249,500,-189.5554432,1236.230334,98
147,-116.2448549,24696.99764,1000,-40.67025993,4177.403995,500,17.2439189,1190.641505,179
148,-57.50768465,12136.20449,1000,-66.76354115,4265.17957,500,78.96089674,1284.328151,250
149,-15.35798934,3790.091044,307,2.952125765,2658.111902,500,-69.06825791,2854.018577,250
150,-168.669469,16431.48301,1000,-62.7525815,3345.346599,500,30.50344526,2515.285864,250
151,-12.66252198,17100.49889,1000,-40.96409617,3715.093487,500,59.43168955,1983.685156,250
152,66.64875769,11356.81616,1000,-32.71239084,4192.912955,500,-28.98302105,1378.961574,250
153,-119.0627992,16763.52632,1000,-44.16421212,4466.549946,500,-26.53531244,2130.659359,250
154,-189.3343085,21501.27326,943,-9.86208213,3205.54929,500,-41.26789591,3817.719412,221
155,-143.7733078,25678.02929,1000,-76.53632895,3309.100345,500,-48.78987851,2846.064847,239
156,-507.0658073,1342.422429,101,-24.50980523,3377.273073,500,95.3090475,2400.691685,250
157,-107.8668265,13147.26168,1000,-61.11139069,3786.108126,500,-60.71024966,3100.625402,250
158,-99.0334599,17873.29816,1000,-86.89586841,4245.532101,500,-12.48232708,2796.238638,250
159,-116.9622772,16840.09637,1000,-44.02349293,3624.118153,500,92.99483679,1754.182065,250
160,-49.19145646,2007.031944,182,-22.08350143,4369.433749,500,-84.40835653,1141.449237,199
161,-3.837057437,8686.788918,355,-58.83679291,4288.986609,500,33.14048602,2019.936576,250
162,-146.7592683,16101.55375,1000,-25.90904966,3559.764597,500,-670.8965266,6407.598182,162
163,-34.02266401,18153.83329,1000,-29.21757812,4042.872381,500,-197.564308,2039.190413,174
164,-43.52649916,17430.83708,1000,5.528051634,2991.409344,500,28.16405144,1958.438456,250
165,-57.62750657,18874.87903,1000,-69.27996092,3879.009651,500,16.032032,4124.625728,250
166,-90.44091806,18641.26411,1000,-57.01051135,3029.093875,500,9.692529361,3541.099378,250
167,-104.9855906,15350.41099,1000,-41.52073193,3790.446253,500,4.868397557,4937.163097,250
168,-122.8557776,11734.16322,1000,-26.92949714,4359.847398,500,-60.58452689,2087.490548,250
169,-96.64761814,14355.08478,1000,-12.20981719,4704.137999,500,32.41670566,2138.794727,250
170,-122.7834547,16805.18684,1000,-33.592776,4702.59153,500,-244.9729536,2894.651988,240
171,-98.68130749,13813.53887,1000,-4.058662286,4001.222072,500,25.14839953,2507.340545,250
172,-86.62778694,15044.95707,1000,-33.0582361,5255.891465,500,-27.57835259,2346.205722,250
173,-88.02057781,12764.33868,1000,-39.38974441,3347.975301,500,30.82015499,2008.222661,250
174,-119.5227304,17320.42143,1000,-42.00107226,3409.98464,500,18.36609938,2132.646039,250
175,-93.37701418,13001.47521,1000,-59.53980788,4331.219617,500,40.06722944,1696.472125,250
176,-126.7385941,10528.30025,1000,-21.17642641,3612.370569,500,-23.48036409,1754.500731,239
177,-83.53279472,11123.26099,1000,-56.29613571,6017.842595,500,74.76212779,1790.425082,250
178,-115.1926868,15904.82782,1000,-45.45839931,4447.838552,500,-12.64554748,1475.197079,250
179,-94.01541135,13910.80624,1000,-42.21007126,3619.561027,500,-27.11496648,2622.732129,250
180,-81.38718158,15540.22012,1000,9.90152991,5908.863465,500,-84.53939661,1953.143636,250
181,-79.92878682,14422.02855,1000,-36.05354078,4752.6788,500,-2.467872203,2109.544513,239
182,-103.2162712,14238.87867,1000,29.82527386,4685.678836,500,63.09651192,1360.919316,250
183,-102.8349987,13822.77141,1000,-36.8494977,4259.701781,500,-21.02412622,2989.933677,250
184,-22.97002424,15777.50156,1000,-60.4828794,5079.404732,500,-16.15295279,2428.539667,250
185,-47.51214009,16122.00725,1000,-19.43577991,3168.398931,500,-148.5929361,1083.709908,225
186,-76.66449404,12346.9308,1000,-8.115536632,3829.786957,500,-11.6069248,1920.442663,250
187,-92.21629731,17424.29987,1000,-80.33273903,300.8091755,62,13.54436869,1923.216402,250
188,-82.80655062,11075.92583,1000,-32.84165381,3278.185269,500,-60.54728673,2533.814742,250
189,-66.00507853,14072.11918,1000,-41.31913587,3640.75293,500,1.13948367,2085.057515,250
190,-93.95569492,10087.43541,1000,-10.64578465,3494.461968,500,-9.094607621,1782.405314,250
191,-113.73263,11907.88602,1000,-50.99240773,2921.598925,500,-26.30830324,2298.050457,250
192,7.168731855,18560.25226,1000,-32.04829644,4910.178959,500,-2.086447104,1445.148284,250
193,-90.63012215,15071.06412,1000,4.107201487,3851.970043,500,-22.88380248,1748.678375,250
194,-120.2192656,15534.95926,1000,-23.47653934,4216.509408,500,37.7085492,1424.534309,250
195,-119.6320972,10450.48934,1000,-49.65734285,3907.211236,500,16.26210311,2527.989065,250
196,-55.02836899,11930.10002,1000,-30.46886106,4708.334781,500,37.11101936,1800.085004,250
197,-97.0123135,10261.08344,1000,-46.56841331,3023.570235,500,-28.40058954,2761.529678,250
198,-136.0004829,400.3088431,52,-35.63006486,2155.255191,500,-264.691417,694.6907253,183
199,-61.83226405,11172.11121,1000,-58.53401799,3405.322487,500,-21.63242026,1727.239518,250
200,-55.88130139,11055.10961,1000,-74.69534237,4546.974179,500,-42.72617993,1486.163039,250
201,-66.90315324,9170.560432,1000,-9.418819187,3373.397798,500,-35.90654565,1287.257406,250
202,-130.8023012,12184.80464,1000,-27.79956085,5126.283393,500,25.71685276,1999.942673,250
203,-115.7793037,10864.88415,1000,-57.64708857,4128.628413,500,-41.86982173,2885.165344,247
204,-126.9309956,10814.71034,1000,-48.60583043,2970.959825,500,-36.9261176,2001.365054,250
205,-126.1740188,10363.82036,1000,-124.1763521,3535.527886,363,10.21988692,2247.369008,250
206,-135.6338957,13636.8586,1000,-45.90564354,4757.052226,500,-20.07880317,2177.183331,250
207,-67.52738934,12244.31106,1000,-33.30396111,4710.744442,500,71.19407976,1430.95088,250
208,-134.9717415,7444.373259,1000,-52.53130721,2545.32842,500,-66.00378492,1322.547965,250
209,-92.28373587,9212.592621,1000,-157.2751878,3387.001889,443,-4.350281269,1141.064436,250
210,-94.7079784,8669.599985,1000,-65.74024566,2868.621891,500,-369.9692844,4824.108552,250
211,-74.57852401,11472.98157,1000,-49.33081338,4453.589384,500,-38.10631814,1998.977714,250
212,-50.24478672,9937.488018,1000,-55.36778151,3748.768941,500,94.33093165,5585.389466,250
213,-54.4114556,11509.28053,1000,28.11906946,3854.790796,500,47.41417797,2889.507587,250
214,-41.24289031,7227.241649,1000,34.94317128,3911.556866,500,-15.96302819,1232.455413,225
215,-106.4285148,8315.084871,1000,-39.70902324,358.5276442,60,-24.87964264,1372.416218,250
216,-146.0033512,8814.795219,1000,-61.24797272,966.8069224,85,-50.11268472,1450.948792,250
217,-42.05796742,7229.538784,1000,-41.24839882,825.0211587,92,-8.766472644,2698.955517,250
218,-66.40904845,8431.435444,1000,-44.15865031,4861.812107,500,25.01024868,1869.531699,250
219,-86.90053891,7800.769964,1000,45.48869291,7035.221212,500,-11.9353506,1291.226939,250
220,-131.59739,7077.385731,1000,-47.99998668,4685.260701,500,-35.92517803,1596.580679,250
221,-113.2636636,6185.765084,1000,-58.95910506,3667.053064,500,-26.77947586,1895.453799,250
222,-57.83615672,4958.08199,1000,-55.10452698,3437.299729,500,-14.6128003,1400.83238,250
223,-131.1121343,4471.30275,1000,-45.64181248,4810.69133,500,12.78896958,3016.03763,250
224,-78.55665158,3877.130215,1000,-62.52445799,4363.510114,500,-11.49162136,1601.929198,250
225,-44.07097543,3556.067386,1000,-39.21910033,5595.275723,500,-41.53958178,1312.087989,250
226,-27.26381146,5172.552673,1000,-58.46246041,4073.695128,500,6.846216391,1869.852299,250
227,-83.36564673,4722.278524,1000,-28.89112783,3280.419313,500,-5.260756709,2886.651713,250
228,-27.99480623,4922.303546,1000,-46.5229223,2530.164493,500,-0.879276413,1782.94858,250
229,-148.2820624,3409.035979,1000,-41.53060058,4077.575257,500,-27.21079734,1305.098567,250
230,-93.39899424,2278.907207,418,-58.28641322,3290.537253,500,-12.94450471,5416.580005,250
231,-84.90295803,300.8392978,87,-145.185897,4713.112118,415,43.3258289,1228.340155,250
232,-56.32980811,3577.204711,1000,-33.77161228,2117.108186,500,-43.15132487,4525.518284,250
233,-127.2969764,3425.031917,1000,-73.71912503,3913.443998,500,24.03393446,2250.361031,250
234,-87.18096976,3593.058652,1000,-23.85177026,5480.945095,500,-76.69790212,2387.653264,250
235,-138.4559,5527.203581,1000,-62.52684927,4030.250677,500,37.38459811,1204.802488,250
236,-31.45414419,4439.75512,1000,-73.1722158,4607.69516,500,-11.0787665,4205.220924,250
237,-66.72028582,2327.944462,1000,-57.89204382,3414.193354,500,49.84486202,3171.051269,250
238,-10.09787287,2953.073557,1000,-91.81400062,536.7437174,153,-40.48501044,2273.121912,250
239,-130.4376551,2544.648486,1000,-34.8093556,8171.525238,500,4.093989381,4075.624045,250
240,-157.9425131,3845.533455,1000,87.37337347,5245.242396,500,53.85326552,1763.342511,250
241,-62.84622916,1890.635053,1000,-40.07924465,3742.528214,500,-31.68862136,2429.163844,250
242,-74.2848561,1846.487511,1000,-9.742234551,4024.301409,500,1.970477453,3917.495905,250
243,-19.33661871,3377.676503,1000,-38.10743904,3633.520138,500,64.63748093,1586.911342,250
244,-131.8171204,1747.020278,1000,-26.82768816,4243.588662,500,36.92588768,1374.454655,250
245,-6.746102323,1649.585546,1000,-67.37099427,4019.8553,500,37.82510192,1235.980059,250
246,-59.05204759,2147.647389,1000,-72.86220206,5142.062294,500,-15.4477975,1478.752032,250
247,-15.30204076,3657.00033,1000,-60.46959041,2921.45089,500,34.82767927,1973.840909,250
248,-104.9674683,5230.163812,1000,-41.26856269,5893.654702,500,-8.751356719,1971.792723,250
249,-139.8412935,380.068269,133,11.58328704,4702.165907,500,-19.13918595,1096.414804,250
250,-93.87119462,1185.071176,1000,-12.8878306,5529.516196,500,22.6849603,2132.646801,250
251,-129.1030633,183.0952081,156,-73.56117931,3942.975938,500,36.4452716,1927.025241,250
252,-110.3683228,1137.323124,1000,-173.6096306,4240.400061,110,-45.90724091,5292.502846,250
253,-179.8906406,1801.096632,958,27.48833737,3986.227134,500,-6.36549412,1796.13874,250
254,-86.5296142,264.4501349,165,-22.75859622,4819.58171,500,20.85618351,1673.136244,250
255,-85.93705991,1162.041187,1000,-65.69490731,2994.762236,500,11.96108617,1683.457519,250
256,-68.8988707,1094.252421,1000,15.06123144,3148.319812,500,3.628076849,2174.664265,250
257,-27.76157006,3538.811552,1000,-42.28381696,3890.680353,500,-7.030112985,1149.545017,250
258,-84.35974279,2856.819472,1000,13.86403553,3926.563392,500,15.19798607,1374.179545,250
259,-102.5360822,299.2086508,171,-8.295527061,2892.666761,500,-5.346228511,1024.515116,250
260,-107.9776537,2111.62936,1000,-1.166362372,3229.044308,500,-5.0452902,1395.797425,250
261,-97.09852261,2031.886431,1000,-55.02666085,2733.254351,500,17.95200802,1483.791528,250
262,-140.8474276,193.136305,177,-12.44407613,4626.012002,500,-26.5376699,1350.090188,250
